# Quarter-end close prices from Stooq
ticker,period,close
ARR,2009-06-30,60.385
ARR,2009-09-30,61.441
ARR,2009-12-31,51.0391
ARR,2010-03-31,50.6686
ARR,2010-06-30,39.326
ARR,2010-09-30,43.407
ARR,2010-12-31,48.3375
ARR,2011-03-31,47.6216
ARR,2011-06-30,48.5082
ARR,2011-09-30,47.1186
ARR,2011-12-31,51.1675
ARR,2012-03-31,51.3741
ARR,2012-06-30,56.5032
ARR,2012-09-30,63.3872
ARR,2012-12-31,55.6114
ARR,2013-03-31,58.2159
ARR,2013-06-30,43.5619
ARR,2013-09-30,40.8006
ARR,2013-12-31,40.462
ARR,2014-03-31,43.0689
ARR,2014-06-30,46.8915
ARR,2014-09-30,43.1941
ARR,2014-12-31,42.9182
ARR,2015-03-31,38.327
ARR,2015-06-30,35.3639
ARR,2015-09-30,32.9629
ARR,2015-12-31,37.5333
ARR,2016-03-31,39.0359
ARR,2016-06-30,37.5198
ARR,2016-09-30,43.5715
ARR,2016-12-31,43.1868
ARR,2017-03-31,46.398
ARR,2017-06-30,52.2645
ARR,2017-09-30,57.4788
ARR,2017-12-31,56.1954
ARR,2018-03-31,52.104
ARR,2018-06-30,52.3375
ARR,2018-09-30,52.7825
ARR,2018-12-31,49.4698
ARR,2019-03-31,48.4288
ARR,2019-06-30,47.6527
ARR,2019-09-30,44.0782
ARR,2019-12-31,48.4329
ARR,2020-03-31,24.6282
ARR,2020-06-30,26.5335
ARR,2020-09-30,27.734
ARR,2020-12-31,32.396
ARR,2021-03-31,37.5788
ARR,2021-06-30,36.0593
ARR,2021-09-30,34.9796
ARR,2021-12-31,32.7555
ARR,2022-03-31,28.9934
ARR,2022-06-30,25.3025
ARR,2022-09-30,18.2483
ARR,2022-12-31,22.2722
ARR,2023-03-31,21.8016
ARR,2023-06-30,23.1889
ARR,2023-09-30,19.3951
ARR,2023-12-31,18.8363
ARR,2024-03-31,19.77
ARR,2024-06-30,19.38
ARR,2024-09-30,20.4
ARR,2024-12-31,18.86
ARR,2025-03-31,17.1
ARR,2025-06-30,16.81
ARR,2025-09-30,14.94
ARR,2025-12-31,17.69
ARR,2026-03-31,15.99
DX,2005-03-31,5.84535
DX,2005-06-30,5.96318
DX,2005-09-30,5.63948
DX,2005-12-31,5.45012
DX,2006-03-31,5.33126
DX,2006-06-30,5.4024
DX,2006-09-30,5.37105
DX,2006-12-31,5.59985
DX,2007-03-31,6.12148
DX,2007-06-30,6.51635
DX,2007-09-30,6.23169
DX,2007-12-31,7.00519
DX,2008-03-31,7.54221
DX,2008-06-30,6.95026
DX,2008-09-30,6.20005
DX,2008-12-31,5.1662
DX,2009-03-31,5.54484
DX,2009-06-30,6.47672
DX,2009-09-30,6.65905
DX,2009-12-31,6.8959
DX,2010-03-31,7.10932
DX,2010-06-30,7.28657
DX,2010-09-30,8.51709
DX,2010-12-31,8.6212
DX,2011-03-31,8.16052
DX,2011-06-30,8.0703
DX,2011-09-30,6.94295
DX,2011-12-31,8.09742
DX,2012-03-31,8.47042
DX,2012-06-30,9.48316
DX,2012-09-30,10.1001
DX,2012-12-31,9.41836
DX,2013-03-31,10.943
DX,2013-06-30,10.7478
DX,2013-09-30,9.25125
DX,2013-12-31,8.99119
DX,2014-03-31,10.0587
DX,2014-06-30,10.2305
DX,2014-09-30,9.61455
DX,2014-12-31,10.4352
DX,2015-03-31,10.7111
DX,2015-06-30,9.91859
DX,2015-09-30,8.81573
DX,2015-12-31,9.18177
DX,2016-03-31,9.91859
DX,2016-06-30,10.3488
DX,2016-09-30,11.4115
DX,2016-12-31,11.128
DX,2017-03-31,11.5664
DX,2017-06-30,11.8875
DX,2017-09-30,12.4883
DX,2017-12-31,12.661
DX,2018-03-31,11.9775
DX,2018-06-30,12.1262
DX,2018-09-30,12.1805
DX,2018-12-31,11.591
DX,2019-03-31,12.7148
DX,2019-06-30,12.0207
DX,2019-09-30,10.9298
DX,2019-12-31,12.8816
DX,2020-03-31,8.17527
DX,2020-06-30,11.5543
DX,2020-09-30,12.6
DX,2020-12-31,15.0843
DX,2021-03-31,16.3797
DX,2021-06-30,16.4699
DX,2021-09-30,15.4795
DX,2021-12-31,15.3087
DX,2022-03-31,15.0814
DX,2022-06-30,15.1989
DX,2022-09-30,11.4021
DX,2022-12-31,12.72
DX,2023-03-31,12.12
DX,2023-06-30,12.59
DX,2023-09-30,11.94
DX,2023-12-31,12.52
DX,2024-03-31,12.45
DX,2024-06-30,11.94
DX,2024-09-30,12.76
DX,2024-12-31,12.65
DX,2025-03-31,13.02
DX,2025-06-30,12.22
DX,2025-09-30,12.29
DX,2025-12-31,14.01
DX,2026-03-31,12.46
TWO,2009-12-31,15.609
TWO,2010-03-31,14.5571
TWO,2010-06-30,13.1378
TWO,2010-09-30,14.3672
TWO,2010-12-31,15.6005
TWO,2011-03-31,17.2815
TWO,2011-06-30,18.4411
TWO,2011-09-30,15.8251
TWO,2011-12-31,17.2613
TWO,2012-03-31,19.6899
TWO,2012-06-30,20.8954
TWO,2012-09-30,24.4337
TWO,2012-12-31,24.2882
TWO,2013-03-31,28.289
TWO,2013-06-30,23.7095
TWO,2013-09-30,23.1157
TWO,2013-12-31,22.7127
TWO,2014-03-31,25.7339
TWO,2014-06-30,26.9637
TWO,2014-09-30,25.5363
